ukbb20003;n
flucloxin 250mg capsule;5
flucloxin 500mg capsule;3
flucloxin 125mg/5ml oral suspension;1
radian b muscle rub;2
radian b muscle lotion;0
crinone 4% vaginal gel;4
respillin 250mg capsule;1
respillin 500mg capsule;0
respillin 125mg/5ml oral suspension;0
respillin 250mg/5ml oral suspension;0
respillin 125mg/5ml s/f suspension;0
respillin 250mg/5ml s/f suspension;0
tenkicin 250mg tablet;0
elleste-solo mx 40 patch;93
tazarotene;4
zorac 0.05% aqueous gel;3
cyclogest 200mg pessary;11
daktarin dual action 2% cream;3
zidoval 0.75% vaginal gel;5
glimepiride;560
genalat retard 10mg m/r tablet;0
tretinoin;0
vesanoid 10mg capsule;0
cidofovir;0
vistide 375mg/5ml intravenous infusion conc;0
flamatak mr 75mg m/r tablet;1
introna 18million iu injection (pdr for recon)+diluent;0
mirtazapine;1705
zispin 30mg tablet;63
coltec ec 400mg e/c tablet;0
contimin 2.5mg tablet;0
lodiar 2mg capsule;0
ursogal 150mg tablet;4
zerit 1mg/1ml oral solution;0
quetiapine;364
seroquel 25mg tablet;76
tolcapone;3
tasmar 100mg tablet;0
caverject 5micrograms injection (pdr for recon)+diluent;47
vibramycin acne pack 50mg capsule;1
zomorph 10mg m/r capsule;46
zomorph 30mg m/r capsule;31
zomorph 60mg m/r capsule;6
zomorph 100mg m/r capsule;13
zomorph 200mg m/r capsule;1
irbesartan;4286
aprovel 75mg tablet;465
lercanidipine;1757
zanidip 10mg tablet;214
fletchers' enemette;0
nytol 25mg caplet;46
advil cold and sinus tablet;1
isocard 30mg transdermal spray;0
anadin ibuprofen 200mg tablet;14
urimin 5mg tablet;0
urdox 300mg tablet;1
asmasal 100micrograms spacehaler;75
wellvone 750mg/5ml s/f suspension;0
tizanidine;69
zanaflex 2mg tablet;8
klaricid adult 250mg/sachet granules;0
oxis 6micrograms turbohaler;111
balsalazide disodium;156
colazide 750mg capsule;69
troglitazone;0
romozin 200mg tablet;0
asmabec 50micrograms spacehaler;60
polymyxin b sulphate+trimethoprim eye drops 5ml;0
moxisylyte;1
epogam 40 capsule;1
tarka 2mg/180mg m/r capsule;8
trandolapril+verapamil hydrochloride;9
difenor xl 100mg m/r tablet;0
pardelprin mr 75mg m/r capsule;0
atovaquone+proguanil hydrochloride;2
ventmax sr 4mg m/r capsule;7
mibefradil;0
posicor 50mg tablet;0
malarone tablet;53
zamadol sr 50mg m/r capsule;3
zamadol sr 100mg m/r capsule;26
zamadol sr 150mg m/r capsule;5
menogon 75iu injection (pdr for recon)+solvent;0
calazem 60mg m/r tablet;0
zamadol sr 200mg m/r capsule;7
amisulpride;105
elleste duet conti tablet;1063
zileze 3.75 tablet;0
optil 60mg m/r tablet;0
neorecormon 500iu injection (pdr for recon)+solvent;23
chimax 250mg tablet;0
equilon 135mg tablet;0
proguanil hydrochloride+chloroquine phosphate;2
paludrine tablet+avloclor tablet 100mg/250mg travel pack;12
half propatard la 80mg m/r capsule;2
propatard la 160mg m/r capsule;0
candesartan cilexetil;6996
amias 2mg tablet;582
paracetamol+domperidone 500mg/10mg tablet;3
domperamol tablet;10
videx 150mg tablet;0
locabiotal 500micrograms cfc-free spray;0
flexotard mr 100mg m/r tablet;1
amaryl 1mg tablet;49
zaedoc 150 tablet;0
mizolastine product;74
mizollen 10mg m/r tablet;60
bismuth subgallate 300mg suppository bp;0
diclovol 25mg e/c tablet;2
montelukast product;1248
singulair 10mg tablet;385
dilcardia sr 60mg m/r capsule;3
nifedipress mr 10 m/r tablet;25
misoprostol product;6
senna product;193
sennosides product;0
pancreatin product;5
ethacrynic acid product;0
disopyramide product;3
tixylix catarrh syrup;0
tixylix cough & cold linctus;0
grepafloxacin product;0
raxar 400mg tablet;0
raxar 600mg tablet;0
glyceryl trinitrate product;500
isosorbide mononitrate product;101
ethamsylate product;0
bezafibrate product;24
gemfibrozil product;2
salmeterol product;308
ganciclovir product;1
famciclovir product;0
valaciclovir product;2
saquinavir product;0
pyrimethamine product;0
mefloquine product;1
mebendazole product;0
niclosamide product;0
glipizide product;2
propylthiouracil product;6
hydrocortisone product;384
desmopressin product;12
danazol product;1
dinoprostone product;0
mifepristone product;0
clotrimazole product;34
terfenadine product;1
loratadine product;122
sumatriptan product;91
tetrabenazine product;1
disulfiram product;3
flucloxacillin product;11
temocillin product;1
amoxycillin product;4
pivampicillin product;0
cefaclor product;0
cefotaxime product;1
cephradine product;1
kanamycin product;0
erythromycin product;37
clindamycin product;16
rifampicin product;1
clofazimine product;0
metronidazole product;108
ciprofloxacin product;17
fluconazole product;6
zidovudine product;1
etoposide product;0
covonia bronchial balsam syrup;7
buserelin product;0
goserelin product;14
tobramycin product;0
miconazole product;11
nystatin product;9
prednisolone product;218
ethinyloestradiol product;4
norethisterone product;20
levonorgestrel product;16
ibuprofen product;110
salicylic acid product;33
cholestyramine product;2
budesonide product;157
interferon beta-1b product;0
levocabastine product;0
ciproxin 5g/100ml oral suspension;1
epoetin alfa product;2
indomethacin product;15
hypromellose product;293
covonia night time formula syrup;0
fentanyl product;86
calcium polystyrene sulphonate product;5
co-beneldopa product;5
co-magaldrox product;5
hyoscine product;15
salbutamol product;844
granisetron product;0
indoramin product;6
mestranol product;0
ispaghula husk product;162
diazepam product;16
gentamicin product;2
respontin 250micrograms/1ml nebule;0
benadryl allergy relief 8mg capsule;107
minims dexamethasone na phosphate 0.1% s-d eye drops;9
lipantil micro 67mg capsule;105
nivaten retard 10mg m/r tablet;0
monosorb xl 60 m/r tablet;28
fungederm 1% cream;1
tropiovent 250micrograms/1ml steripoule;0
levofloxacin;34
tavanic 250mg tablet;0
tavanic 500mg tablet;1
tavanic 500mg/100ml intravenous infusion;0
introna 15million iu/1ml prefilled pen;0
introna 25million iu/1ml prefilled pen;0
introna 50million iu/1ml prefilled pen;0
metharose 1mg/1ml s/f oral solution;1
monodur 60mg m/r tablet;0
avoca wart and verruca set;0
ucine 500mg tablet;0
viraferon 15million iu/1ml prefilled pen;0
tolterodine l-tartrate;1119
detrusitol 1mg tablet;798
timonil retard 200mg m/r tablet;0
e45 emollient bath oil;15
dexomon sr 75mg m/r tablet;0
optilast 0.05% eye drops;22
muse 125micrograms pellet;14
acoflam 25mg e/c tablet;0
calcort 1mg tablet;7
dayleve 0.1% cream;1
modafinil;106
provigil 100mg tablet;22
zamadol 100mg/2ml injection;1
condrotec tablet;11
aspirin+papaveretum 500mg/7.71mg dispersible tablet;2
clioquinol product;0
danlax suspension;0
beclo-aqua 50 nasal spray;74
sevredol 10mg/5ml oral solution;0
ticlopidine;1
ticlid 250mg tablet;0
erythroped forte sf 500mg/5ml s/f suspension;0
povidone;8
oculotect 5% single-use eye drops;6
migranal 2mg/0.5ml nasal spray;0
primacine 125mg/5ml suspension;0
dinnefords teejel 8.7% oral gel;0
paracetamol+prometh hcl 120mg/1.5mg/5ml colour free s/f susp;0
medised colour free s/f suspension;0
dihydroergotamine;0
primacine 250mg/5ml suspension;0
primacine 500mg/5ml suspension;0
budenofalk 3mg capsule;4
mistamine 10mg m/r tablet;0
crystapen 1200mg injection (pdr for recon);0
maxivent 2.5mg/2.5ml steripoule;1
isosorbide mononitrate+aspirin;3
imazin xl 60mg/75mg m/r tablet;0
pramipexole;272
mirapexin 0.088mg tablet;137
salmeterol+fluticasone propionate;953
imidapril hydrochloride;31
tanatril 5mg tablet;5
otradrops adult formula 0.1% nose drops;0
temozolomide;5
temodal 5mg capsule;0
diasorb 2mg capsule;1
subutex 400micrograms sublingual tablet;0
subutex 2mg sublingual tablet;5
subutex 8mg sublingual tablet;6
fenbid forte 10% gel;19
emedastine;3
emadine 0.05% eye drops;3
nebivolol;485
nebilet 5mg tablet;68
fortovase 200mg capsule;0
differin 0.1% cream;12
mothers' and children's vitamin drops;0
protium 20mg e/c tablet;119
ketil 2.5% gel;1
unguentum m cream;49
sangcya 100mg/ml oral solution;0
burow's solution;0
dexketoprofen;7
keral 25mg tablet;2
zinc+salicylic acid paste half strength;0
lassar's paste half strength;0
marevan 0.5mg tablet;16
angitak 1.25mg spray;1
adcal-d3 1.5g/10micrograms chewable tablet;4241
klaricid 250mg/5ml paediatric suspension;0
eucerin 10% cream;21
sinemet-62.5 tablet;177
nurofen gel;7
artelac 0.32% single-use eye drops;19
rofecoxib;1
vioxx 12.5mg tablet;0
vioxx 25mg tablet;1
vioxx 12.5mg/5ml oral suspension;0
vioxx 25mg/5ml oral suspension;0
cetrorelix;1
cetrotide 0.25mg injection (pdr for recon)+solvent;1
virazole 6g inhalation (pdr for recon);0
ancotil 2.5g/250ml intravenous infusion;0
felodipine+ramipril;54
triapin mite 2.5mg/2.5mg tablet;12
paranorm cough syrup;0
kapake capsule;92
rebetol 200mg capsule;3
efavirenz;73
sustiva 50mg capsule;3
sustiva 100mg capsule;8
sustiva 200mg capsule;4
rebif 12million iu/0.5ml prefilled syringe;5
physeptone 20mg/2ml injection;0
physeptone 35mg/3.5ml injection;0
physeptone 50mg/5ml injection;0
physeptone 1mg/1ml s/f mixture;0
physeptone 1mg/1ml mixture;0
otraspray adult formula 0.1% nasal spray;4
galprofen 100mg/5ml oral suspension;0
dextrose 40% oral gel;13
librofem 200mg tablet;17
abacavir;64
ziagen 300mg tablet;6
ziagen 20mg/ml oral solution;0
zydol xl 150mg m/r tablet;0
zydol xl 200mg m/r tablet;2
zydol xl 300mg m/r tablet;0
zydol xl 400mg m/r tablet;2
roferon-a 18million iu/0.6ml cartridge;0
calcette 500mg chewable tablet;14
privacom 500mg pessary;0
telmisartan;863
rennie duo oral suspension;169
neutratop 0.75% gel;0
quinupristin+dalfopristin;0
synercid infusion (pdr for recon);0
zanamivir;0
relenza 5mg/blister disks+diskhaler;0
zeffix 5mg/1ml oral solution;0
zeffix 100mg tablet;3
etonogestrel;15
implanon 68mg subdermal implant;177
spasmonal fibre granules 500g;22
viralief 5% cream;0
leflunomide;245
arava 10mg tablet;12
arava 20mg tablet;7
arava 100mg tablet;1
promictuline 2.5mg tablet;0
testoderm 6mg/24hours transdermal patch;6
viramune 50mg/5ml oral suspension;0
ethinyloestradiol+gestodene 20micrograms/75micrograms tablet;1
femodette tablet;47
acticin 0.025% cream;0
brevoxyl 4% cream;2
lomefloxacin;0
okacyn 0.3% eye drops;0
ranitic 150mg tablet;4
pickles ointment;0
rimexolone;11
vexol 1% eye drops;12
palivizumab;0
wartex ointment;0
amidox 100mg tablet;0
capsaicin 0.025% cream;89
zacin 0.025% cream;15
coroday mr 20mg m/r tablet;0
lamivudine+zidovudine;3
combivir tablet;35
dexa-rhinaspray duo aqueous nasal spray;7
chemydur 60xl m/r tablet;28
introna 25million iu/2.5ml injection solution;0
virasorb cold sore 5% cream;0
famvir 500mg tablet;0
cysteamine;1
cystagon 50mg capsule;0
claforan 1g infusion (pdr for recon) vial with connector;0
claforan 2g infusion (pdr for recon) vial with connector;0
eryacne 2 topical gel;1
eryacne 4 topical gel;2
imodium plus 2mg/125mg chewable tablet;17
nevirapine;80
viramune 200mg tablet;40
caspac xl 162.5mg m/r capsule;0
rozex 0.75% cream;64
loperamide hydrochloride+simethicone;61
froop co 5mg/40mg tablet;0
tramake insts 50mg/sachet powder;0
tramake insts 100mg/sachet powder;0
exorex lotion;91
tramazoline hydrochloride+dexamethasone isonicotinate;2
efamast 40 capsule;0
oestrogel 0.06% gel;181
pinadone 1mg/1ml mixture;0
pinadone 1mg/1ml s/f mixture;0
phosex 1g tablet;17
colofac-100 tablet;633
docusol 12.5mg/5ml paediatric solution;0
rantec 150mg tablet;0
rheumatac retard 75mg m/r tablet;12
lanreotide;11
somatuline la 30mg injection (pdr)+diluent+syringe;7
cidomycin 0.3% ointment;0
qvar 50 inhaler;2132
achromycin 3% ointment;1
cidomycin 0.3% cream;0
rebif 6million iu/0.5ml prefilled syringe;0
nelfinavir;1
viracept 250mg tablet;0
viracept 50mg/1g oral powder;0
pharmaton capsule;25
rivastigmine;16
exelon 1.5mg capsule;5
beclomist 50micrograms nasal spray;171
neoral 10mg capsule;83
solpadeine max tablet;26
hyteneze 12.5 tablet;0
imiquimod;11
tensopril 12.5mg tablet;0
zemtard 120 xl m/r capsule;56
dipyridamole+aspirin;44
asasantin retard m/r capsule;136
teril cr 200mg m/r tablet;0
aldara 5% cream;14
rizatriptan;448
maxalt 5mg tablet;254
zyprexa 2.5mg tablet;21
mil-par suspension;1
oilatum fragrance free liquid bath additive;4
isotard 25xl m/r tablet;210
refresh 1.4% ophthalmic solution;3
solpadol capsule;287
cefprozil;0
clopidogrel;4560
plavix 75mg tablet;237
oestradiol+norethisterone acetate 1mg/0.5mg tablet;3
kliovance 1mg/0.5mg tablet;1093
cefzil 250mg tablet;0
cefzil 500mg tablet;0
cefzil 250mg/5ml oral suspension;0
zafirlukast;39
accolate 20mg tablet;21
zithromax 500mg tablet;3
dermol 200 shower emollient;70
doxepin hydrochloride 5% cream;0
xepin 5% cream;3
tiagabine;5
gabitril 5mg tablet;1
eucardic 3.125 tablet;1
migraleve tablet;671
alvedon 250mg suppository;0
alvedon 60mg suppository;0
bezagen xl 400mg m/r tablet;0
raloxifene hydrochloride;350
evista 60mg tablet;147
rabeprazole sodium;955
pariet 10mg e/c tablet;303
panadol extra tablet;29
solpadeine tablet;106
solpadeine capsule;130
ketpron xl 100mg m/r capsule;0
repaglinide;93
novonorm 0.5mg tablet;7
orlistat;610
xenical 120mg capsule;479
bazuka extra strength gel;0
mobic 7.5mg suppository;1
propiverine hydrochloride;55
detrunorm 15mg tablet;45
peptac liquid;511
folicare 400micrograms/5ml s/f oral solution;5
kapake insts 500mg/30mg/sachet powder;2
lithium succinate 8% cream;0
efalith 8% cream;0
clarithromy tab+lansoprazole cap+amoxy cap 500/30/500mg pack;5
heliclear triple pack;4
rinstead contact pastille;1
sildenafil;1202
viagra 25mg tablet;174
viagra 50mg tablet;210
viagra 100mg tablet;216
betinex 1mg tablet;0
paracetamol+diphenhydramine hcl 120/12.5mg/5ml s/f oral soln;0
dozol sugar free syrup;0
frusol 20mg/5ml s/f oral solution;0
ethimil mr 240 m/r tablet;0
mandanol 500mg tablet;4
nicef 250mg capsule;0
nicef 500mg capsule;1
ibumousse 5% foam;1
combitens m/r capsule;0
diaglyk 80mg tablet;0
dorzolamide+timolol;129
cosopt 2%/0.5% eye drops;510
piroxicam-beta-cyclodextrin;1
brexidol 20mg tablet;19
zelapar 1.25mg tablet;10
viraferon 25million iu/1ml prefilled pen;0
kapake insts 1000mg/60mg/sachet powder;0
difflam sore throat 0.15% oral rinse;38
entacapone;63
comtess 200mg tablet;1
vertab sr 240 m/r tablet;13
zotepine;3
zoleptil 25mg tablet;0
nifopress retard 20mg m/r tablet;1
ketil cr 100mg m/r capsule;1
tixymol 120mg/5ml s/f suspension;0
sevredol 20mg/ml concentrated oral solution;0
dexamethasone+hypromellose 0.1%/0.5% eye drops;234
synagis 50mg injection (pdr for recon)+solvent;0
synagis 100mg injection (pdr for recon)+solvent;0
doxylar 50mg capsule;1
soltamox 10mg/5ml s/f oral solution;0
strefen 8.75mg lozenge;0
abelcet 50mg/10ml intravenous infusion;1
daktarin dual action 0.16% powder spray;1
medised infant oral solution;0
zyomet 0.75% gel;2
strepsils cough lozenge;1
capto-co 25mg/12.5mg tablet;0
normasol twist topical liquid;0
forcaltonin 100iu/1ml injection;0
isodur 25xl m/r capsule;9
urea 10% lotion;4
eucerin 10% lotion;7
flexin continus 25mg m/r tablet;1
liquid paraffin product;49
mercuric oxide product;0
nitrophenol product;1
felicium 20mg capsule;0
pralenal 2.5mg tablet;0
oxynorm 10mg capsule;28
oxynorm 20mg capsule;12
oxynorm 5mg/5ml liquid;4
oxynorm 10mg/ml concentrate liquid;2
podophyllotoxin product;0
strychnine product;0
tobi 300mg/5ml nebuliser solution;1
lysovir 100mg capsule;0
crixivan 333mg capsule;0
actal pastils;1
oxycodone hydrochloride;132
oxycontin 10mg m/r tablet;74
oxycontin 20mg m/r tablet;39
oxycontin 40mg m/r tablet;17
oxycontin 80mg m/r tablet;10
oxynorm 5mg capsule;30
exemestane;250
aromasin 25mg tablet;83
dromadol sr 100mg m/r tablet;8
dromadol sr 150mg m/r tablet;1
dromadol sr 200mg m/r tablet;0
dromadol sr 75mg m/r tablet;0
cardicor 1.25mg tablet;489
prograf 0.5mg capsule;25
eprosartan;306
teveten 300mg tablet;72
reviparin;0
clivarine 1432iu/0.25ml prefilled syringe;0
zaleplon;9
sonata 5mg capsule;4
dreemon 25mg tablet;0
reminyl 4mg tablet;11
trospium;262
regurin 20mg tablet;72
vivazide 80mg tablet;0
ganirelix;0
orgalutran 0.25mg/0.5ml prefilled syringe;0
zimbacol xl 400mg m/r tablet;19
amiclav 250mg/125mg tablet;0
carbagen sr 200mg m/r tablet;8
galantamine;11
videx ec 125mg e/c capsule;0
videx ec 200mg e/c capsule;0
virormone 5mg/24hours transdermal patch;0
erythromycin+tretinoin 4%/0.025% topical solution;1
aknemycin plus solution;1
pioglitazone;1215
actos 15mg tablet;92
videx ec 250mg e/c capsule;0
videx ec 400mg e/c capsule;0
sudafed dual relief capsule;33
xenazine 25 tablet;0
deferiprone;1
pegintron 50micrograms injection (pdr for recon)+solvent;0
pegintron 80micrograms injection (pdr for recon)+solvent;0
pegintron 100micrograms injection (pdr for recon)+solvent;0
pegintron 120micrograms injection (pdr for recon)+solvent;0
pegintron 150micrograms injection (pdr for recon)+solvent;0
ferriprox 500mg tablet;0
apo-go 20mg/2ml injection;2
zildil sr 60mg m/r capsule;0
thaden 25mg capsule;0
levetiracetam;252
keppra 250mg tablet;158
adcal 600mg chewable tablet;2073
periostat 20mg capsule;9
ergocalciferol 7.5mg(300,000units)/1ml injection;10
amprenavir;0
agenerase 50mg capsule;0
agenerase 150mg capsule;0
agenerase 15mg/ml oral solution;0
supralip 160mg m/r tablet;72
acidex oral suspension;25
canesten -1 500mg vaginal tablet;1
canesten 500mg pessary;1
viraferonpeg 120micrograms injection (pdr for recon)+solvent;0
sst tablet;6
the 50:50 ointment;0
indivina 1mg/2.5mg tablet;159
interferon alfa;5
interferon beta;11
interferon gamma;0
micardis 20mg tablet;147
feprapax 70mg tablet;0
glatiramer;4
copaxone 20mg injection (pdr for recon);54
almogran 12.5mg tablet;67
fludara 10mg tablet;0
irbesartan+hydrochlorothiazide 150mg/12.5mg tablet;136
coaprovel 150mg/12.5mg tablet;167
monomax xl 60mg m/r tablet;147
abacavir+lamivudine+zidovudine;5
trizivir tablet;5
climanor 5mg tablet;4
levonelle 750micrograms tablet;1
almotriptan;130
syprol 5mg/5ml oral solution;0
as saliva orthana spray;17
depakote 250mg e/c tablet;154
actiq 200micrograms lozenge;1
actiq 400micrograms lozenge;0
actiq 600micrograms lozenge;0
actiq 800micrograms lozenge;0
lamisil at 1% cream;14
celluvisc 1% single-use eye drops;463
desloratadine;704
neoclarityn 5mg tablet;599
actiq 1200micrograms lozenge;1
actiq 1600micrograms lozenge;0
linezolid;1
zyvox 600mg tablet;0
propain caplet;18
zyvox 600mg/300ml infusion solution;0
capecitabine;42
xeloda 150mg tablet;6
entrocalm 2mg capsule;1
glucagen hypokit 1mg(1iu) injection;9
pollenase antihistamine 4mg tablet;4
rhino-syrup allergy 2mg/5ml sugar free syrup;0
ranzac 75mg tablet;0
benadryl plus capsule;40
viraferonpeg 150micrograms injection (pdr for recon)+solvent;0
histergan 2% cream;0
ursodeoxycholic acid;180
folinic acid;113
cortisone;82
hydroxocobalamin;475
tegafur+uracil;0
uftoral 100mg/224mg capsule;0
histergan 25mg tablet;0
do-do chesteze tablet;1
tixycolds syrup;0
dulco-lax 2.5mg perles;38
pennsaid 1.5% topical solution;2
povidone mouthwash;0
polyvinylpyrrolidone mouthwash;0
aloclair mouthwash;0
polyvinylpyrrolidone;1
povidone+sodium hyaluronate oral gel;2
gelclair 15ml/sachet oral gel;4
night nurse oral solution;2
night nurse capsule;3
robitussin dry cough medicine liquid;2
polyvinylpyrrolidone+sodium hyaluronate oral gel;1
ranclav 375mg tablet;0
ranclav 625mg tablet;0
ranclav 125mg/31mg s/f suspension;0
ranclav 250mg/62mg s/f suspension;0
calchan mr 10mg m/r tablet;9
histac 150mg tablet;0
ebretin 200mg capsule;0
starlix 60mg tablet;8
aerodiol 150micrograms nasal spray;6
zoledronic acid;87
cetraben cream;143
nateglinide;44
xismox xl 60 m/r tablet;78
vivioptal capsule;3
lopinavir+ritonavir;14
kaletra 133.3mg/33.3mg capsule;28
kaletra 400mg/100mg/5ml oral solution;5
sirolimus;11
oilatum junior cream;1
itraconazole 250mg/25ml infusion concentrate;0
sporanox iv 250mg/25ml infusion concentrate;0
doublebase gel;327
otrivine mu-cron tablet;3
calcitriol;58
solaraze 3% gel;98
multi-action actifed tablet;1
multi-action actifed dry coughs linctus;2
sibutramine;53
reductil 10mg capsule;148
budesonide+eformoterol;36
symbicort 100/6 turbohaler;3494
dexamethasone+tobramycin;0
tobradex eye drops;3
bifonazole;1
bifonazole 1% cream;0
canesten af once daily bifonazole 1% cream;1
zemret 180 xl m/r capsule;1
uprima 2mg sublingual tablet;0
cibral 10mg tablet;2
oxactin 20mg capsule;25
sevelamer;28
renagel 403mg capsule;23
medocodene 30/500 capsule;3
oxcarbazepine;43
trileptal 150 tablet;7
bi-carzem sr 60mg m/r capsule;2
levacetylmethadol hydrochloride;1
orlaam 10mg/ml oral solution;0
candiden 500mg pessary;2
candiden 1% cream;6
ammonaps 500mg tablet;0
sodium phenylbutyrate;0
slomon xl 60 m/r tablet;0
risedronate sodium;1111
actonel 5mg tablet;418
migramax sachet powder;14
co-cyprindiol;9
liparol xl 400mg m/r tablet;3
bactroban 2% cream;6
videx 200mg tablet;0
cymevene 500mg capsule;0
benadryl skin allergy relief cream;6
equasym 5mg tablet;1
silgel cream;1
ibugel forte 10% gel;13
brinzolamide;297
azopt 10mg/ml eye drops;269
fosamax 5mg tablet;654
piriject 10mg/1ml injection;0
daktarin gold 2% cream;5
celecoxib;570
celebrex 100mg capsule;426
celebrex 200mg capsule;202
carbomers;519
fomivirsen;0
vitravene 1.65mg/0.25ml injection;0
seretide 50 evohaler;6328
dexsol 2mg/5ml oral solution;0
bupropion;15
zyban 150mg m/r tablet;18
peginterferon alfa-2b;2
viraferonpeg 50micrograms injection (pdr for recon)+solvent;0
viraferonpeg 80micrograms injection (pdr for recon)+solvent;0
viraferonpeg 100micrograms injection (pdr for recon)+solvent;0
econac 100mg suppository;1
closteril 100 m/r tablet;0
dromadol xl 150mg m/r tablet;0
dromadol xl 200mg m/r tablet;0
dromadol xl 300mg m/r tablet;0
dromadol xl 400mg m/r tablet;0
aveeno colloidal bath additive;0
dermalo bath emollient;3
ditropan xl 5mg m/r tablet;15
adgyn medro 5mg tablet;0
adgyn estro 2mg tablet;0
adgyn combi 2mg tablet;0
esomeprazole;1984
nexium 20mg tablet;899
rosiglitazone;759
avandia 4mg tablet;72
ultramol soluble tablet;0
menopur 75iu injection (pdr for recon)+solvent;4
fersamal tablet;60
nocutil 10micrograms nasal spray;0
moraxen 35mg rectal tampon;0
moraxen 50mg rectal tampon;0
moraxen 75mg rectal tampon;0
moraxen 100mg rectal tampon;0
risperdal 0.5mg tablet;37
micropirin 75mg e/c tablet;88
ibuleve maximum strength 10% gel;6
domilium 10mg tablet;0
eltroxin 25micrograms tablet;127
zapain caplet;235
zapain capsule;108
aranesp 10micrograms/0.4ml prefilled syringe;65
darbepoetin alfa;10
nurofen maximum strength 10% gel;1
pulvinal salbutamol 200mcg breath-act dry powder inhaler;29
pulvinal beclomethasone diprop 100mcg breath-act dry pdr inh;54
ranovir 200mg tablet;0
ranovir 400mg tablet;0
ranovir 800mg tablet;0
arbil mr 200mg m/r tablet;0
nyogel 0.1% liquid eye gel;27
clarityn allergy 2% eye drops;11
zindaclin 1% gel;5
tenofovir;182
viread 245mg tablet;7
idrolax oral powder;2
drospirenone;5
ethinylestradiol+drospirenone 30micrograms/3mg tablet;7
yasmin tablet;96
piriteze 10mg tablet;104
tacrolimus monohydrate 0.03% ointment;19
protopic 0.03% ointment;103
diaquitte 2mg capsule;0
concerta xl 18mg m/r tablet;4
propecia 1mg tablet;27
bimatoprost;461
lumigan 0.3mg/ml eye drops;443
lamisil at 1% spray;3
zyvox 100mg/5ml granules for oral suspension;0
galpharm hayfever and allergy relief 10mg tablet;26
glycopyrrolate;5
robinul 100%w/w powder;0
care hayfever relief 50micrograms nasal spray;15
cozaar 25mg tablet;594
betamethasone+calcipotriol;67
dovobet ointment;627
transtec 35micrograms/hour transdermal patch;13
transtec 52.5micrograms/hour transdermal patch;9
transtec 70micrograms/hour transdermal patch;10
fybogel orange s/f granules;1119
zaditen 250micrograms/ml eye drops;1
artemether+lumefantrine;1
riamet 20mg/120mg tablet;0
anakinra;1
kineret 100mg/0.67ml injection prefilled syringe;0
dynastat 40mg injection (pdr for recon);0
dynastat 40mg injection (pdr for recon)+diluent;0
rapamune 1mg tablet;5
parecoxib;1
etoricoxib;475
arcoxia 60mg tablet;192
arcoxia 90mg tablet;140
arcoxia 120mg tablet;80
silkis 3micrograms/g ointment;30
escitalopram;979
amoxicillin;465
amoxicillin product;28
horizem sr 90mg m/r capsule;0
ibandronic acid;513
busulfan;0
beclometasone dipropionate+salbutamol;394
cefradine product;0
cefalexin;300
butobarbital;0
cefazolin;1
clarithromy tab+lansoprazole cap+amoxi cap 500/30/500mg pack;1
amobarbital sodium;0
valganciclovir;8
valcyte 450mg tablet;0
progynova ts 50 50micrograms patch;27
perindopril+indapamide;116
coversyl plus 4mg/1.25mg tablet;104
amfebutamone;0
cefradine;67
zirtek allergy 10mg tablet;147
colestyramine+aspartame 4g/sachet powder;10
colestyramine product;28
novofem tablet;28
triamterene+chlortalidone 50mg/50mg tablet;0
atenolol+chlortalidone;13
oxycontin 5mg m/r tablet;19
calcium carbonate+colecalciferol 1.25g/5micrograms tablet;473
clomifene;3
dexamfetamine;11
dienestrol;0
dimeticone+calamine+zinc oxide 20/1.5/7.5% cream;0
colistimethate sodium 500,000units injection (pdr for recon);0
colistimethate na 1million units inj (pdr for recon);2
ciclosporin product;4
mercaptamine;3
dantron;0
dimeticone 1000+cetrimide 10%/0.3% cream;1
cetyl dimeticone 5% bath oil;0
dimeticone;1
hydrocortisone+dimeticone '350';0
pipenzolate+dimeticone;0
etacrynic acid product;0
feverfen 100mg/5ml s/f oral suspension;10
etynodiol diacetate;3
cilostazol;39
pletal 100mg tablet;10
filnarine sr 10mg m/r tablet;0
filnarine sr 30mg m/r tablet;0
filnarine sr 60mg m/r tablet;0
filnarine sr 100mg m/r tablet;0
cascor 2mg tablet;0
co-zidocapt 25mg/12.5mg tablet;5
ethinylestradiol+norgestimate 35mcg/250mcg tablet;0
ethinylestradiol product;10
ethinylestradiol;24
ethinylestradiol+levonorgestrel 30mcg/150mcg tablet;3
ethinylestradiol+desogestrel 20mcg/150mcg tablet;1
ethinylestradiol+norethisterone acetate 20mcg/1mg tablet;3
ethinylestradiol+gestodene 20micrograms/75micrograms tablet;0
liposic eye gel;4
peginterferon alfa-2a;9
pegasys 180micrograms/0.5ml injection prefilled syringe;3
tranquilyn 5mg tablet;0
komil 5/40 tablet;0
clioquinol+flumetasone pivalate 1%/0.02% ear drops;3
benadryl one a day 10mg tablet;59
estriol product;322
hydrocortisone+pramocaine;1
phenobarbital product;10
pegasys 135micrograms/0.5ml injection prefilled syringe;1
indometacin product;16
estradiol product;1192
secobarbital;0
mandafen 400mg tablet;1
estradiol+norethisterone acetate 1mg/0.5mg tablet;46
omacor 1g capsule;684
defanac 25mg e/c tablet;2
betaferon 300micrograms injection (pdr for recon)+diluent;34
vivicrom 2% eye drops;0
caspofungin;0
caspofungin msd 50mg infusion concentrate (pdr for recon);0
berlind 75 retard 75mg m/r capsule;0
